network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2.16.66.0/23,6255148,,,0,0
2.16.68.0/22,6255148,,,0,0
2.16.72.0/23,6255148,,,0,0
2.16.74.0/23,2750405,2750405,,0,0
2.16.76.0/22,6255148,,,0,0
2.16.80.0/21,6255148,,,0,0
2.16.88.0/30,6255148,,,0,0
2.16.88.4/30,298795,,,0,0
2.16.88.8/30,6255148,,,0,0
2.16.88.12/30,298795,,,0,0
2.16.88.16/30,6255148,,,0,0
2.16.88.20/30,298795,,,0,0
2.16.88.24/30,6255148,,,0,0
2.16.88.28/30,298795,,,0,0
2.16.88.32/30,6255148,,,0,0
2.16.88.36/30,298795,,,0,0
2.16.88.40/30,6255148,,,0,0
2.16.88.44/30,298795,,,0,0
2.16.88.48/30,6255148,,,0,0
2.16.88.52/30,298795,,,0,0
2.16.88.56/30,6255148,,,0,0
2.16.88.60/30,298795,,,0,0
2.16.88.64/30,6255148,,,0,0
2.16.88.68/30,298795,,,0,0
2.16.88.72/30,6255148,,,0,0
2.16.88.76/30,298795,,,0,0
2.16.88.80/30,6255148,,,0,0
2.16.88.84/30,298795,,,0,0
2.16.88.88/30,6255148,,,0,0
2.16.88.92/30,298795,,,0,0
2.16.88.96/30,6255148,,,0,0
2.16.88.100/30,298795,,,0,0
2.16.88.104/30,6255148,,,0,0
2.16.88.108/30,298795,,,0,0
2.16.88.112/30,6255148,,,0,0
2.16.88.116/30,298795,,,0,0
2.16.88.120/30,6255148,,,0,0
2.16.88.124/31,298795,,,0,0
2.16.88.126/31,6255148,,,0,0
2.16.88.128/25,6255148,,,0,0
2.16.89.0/24,6255148,,,0,0
2.16.90.0/23,6255148,,,0,0
2.16.92.0/22,6255148,,,0,0
2.16.96.0/22,6255148,,,0,0
2.16.100.0/29,6255148,,,0,0
2.16.100.8/30,6255148,,,0,0
2.16.100.12/30,2921044,,,0,0
2.16.100.16/30,6255148,,,0,0
2.16.100.20/30,2921044,,,0,0
2.16.100.24/30,6255148,,,0,0
2.16.100.28/30,2921044,,,0,0
2.16.100.32/30,6255148,,,0,0
2.16.100.36/30,2921044,,,0,0
2.16.100.40/30,6255148,,,0,0
2.16.100.44/30,2921044,,,0,0
2.16.100.48/30,6255148,,,0,0
2.16.100.52/30,2921044,,,0,0
2.16.100.56/30,6255148,,,0,0
2.16.100.60/31,2921044,,,0,0
2.16.100.62/32,2921044,,,0,0
2.16.100.63/32,6255148,,,0,0
2.16.100.64/27,6255148,,,0,0
2.16.100.96/28,6255148,,,0,0
2.16.100.112/29,6255148,,,0,0
2.16.100.120/30,6255148,,,0,0
2.16.100.124/30,2921044,,,0,0
2.16.100.128/30,6255148,,,0,0
2.16.100.132/32,2921044,,,0,0
2.16.100.133/32,6255148,,,0,0
2.16.100.134/31,6255148,,,0,0
2.16.100.136/30,6255148,,,0,0
2.16.100.140/30,2921044,,,0,0
2.16.100.144/28,6255148,,,0,0
2.16.100.160/27,6255148,,,0,0
2.16.100.192/26,6255148,,,0,0
2.16.101.0/30,6255148,,,0,0
2.16.101.4/30,2921044,,,0,0
2.16.101.8/30,6255148,,,0,0
2.16.101.12/30,2921044,,,0,0
2.16.101.16/30,6255148,,,0,0
2.16.101.20/30,2921044,,,0,0
2.16.101.24/30,6255148,,,0,0
2.16.101.28/30,2921044,,,0,0
2.16.101.32/30,6255148,,,0,0
2.16.101.36/30,2921044,,,0,0
2.16.101.40/30,6255148,,,0,0
2.16.101.44/30,2921044,,,0,0
2.16.101.48/30,6255148,,,0,0
2.16.101.52/30,2921044,,,0,0
2.16.101.56/30,6255148,,,0,0
2.16.101.60/30,2921044,,,0,0
2.16.101.64/30,6255148,,,0,0
2.16.101.68/30,2921044,,,0,0
2.16.101.72/30,6255148,,,0,0
2.16.101.76/30,2921044,,,0,0
2.16.101.80/30,6255148,,,0,0
2.16.101.84/30,2921044,,,0,0
2.16.101.88/30,6255148,,,0,0
2.16.101.92/30,2921044,,,0,0
2.16.101.96/30,6255148,,,0,0
2.16.101.100/30,2921044,,,0,0
2.16.101.104/30,6255148,,,0,0
2.16.101.108/30,2921044,,,0,0
2.16.101.112/30,6255148,,,0,0
2.16.101.116/30,2921044,,,0,0
2.16.101.120/29,6255148,,,0,0
2.16.101.128/25,6255148,,,0,0
2.16.102.0/24,6255148,,,0,0
2.16.103.0/28,6255148,,,0,0
2.16.103.16/30,6255148,,,0,0
2.16.103.20/31,6255148,,,0,0
2.16.103.22/32,6255148,,,0,0
2.16.103.23/32,2017370,,,0,0
2.16.103.24/30,6255148,,,0,0
2.16.103.28/32,6255148,,,0,0
2.16.103.29/32,2017370,,,0,0
2.16.103.30/31,2017370,,,0,0
2.16.103.32/30,6255148,,,0,0
2.16.103.36/30,2017370,,,0,0
2.16.103.40/30,6255148,,,0,0
2.16.103.44/30,2017370,,,0,0
2.16.103.48/30,6255148,,,0,0
2.16.103.52/30,2017370,,,0,0
2.16.103.56/30,6255148,,,0,0
2.16.103.60/30,2017370,,,0,0
2.16.103.64/30,6255148,,,0,0
2.16.103.68/30,2017370,,,0,0
2.16.103.72/30,6255148,,,0,0
2.16.103.76/30,2017370,,,0,0
2.16.103.80/30,6255148,,,0,0
2.16.103.84/32,2017370,,,0,0
